"Date","USA","Canada","Mexico"
1980-12-31,946.7,151.632,NA
1981-12-31,1072,176.785,NA
1982-12-31,1191.3,205.814,NA
1983-12-31,1299.5,224.011,NA
1984-12-31,1409,243.886,NA
1985-12-31,1541.9,266.068,NA
1986-12-31,1648.9,279.113,NA
1987-12-31,1741.4,296.263,NA
1988-12-31,1832.6,319.266,NA
1989-12-31,1968.5,333.214,NA
1990-12-31,2143.2,366.559,206.968
1991-12-31,2298.3,398.434,229.524
1992-12-31,2431.6,415.673,253.79
1993-12-31,2520.6,422.405,282.398
1994-12-31,2613.2,426.646,324.101
1995-12-31,2732.7,437.198,490.989
1996-12-31,2848.4,428.947,713.951
1997-12-31,2935.4,422.25,911.513
1998-12-31,3026,443.37,1025.293
1999-12-31,3177.6,460.855,1241.348
2000-12-31,3353.5,479.714,1351.317
2001-12-31,3593.67,504.105,1438.197
2002-12-31,3825.912,512.469,1583.758
2003-12-31,4074.76,542.68,1731.262
2004-12-31,4309.797,559.141,1764.827
2005-12-31,4611.184,600.532,2043.862
2006-12-31,4846.382,627.568,2376.79
2007-12-31,5168.492,659.564,2601.368
2008-12-31,5591.564,703.481,3140.707
2009-12-31,6217.222,740.307,3288.814
2010-12-31,6179.669,786.756,3547.337
2011-12-31,6226.424,806.638,3818.446
2012-12-31,6289.51,816.05,4233.481
2013-12-31,6391.779,836.216,4371.275
2014-12-31,6553.614,863.649,4696.75
2015-12-31,6863.126,894.597,4935.05
2016-12-31,7201.637,930.171,5091.278
2017-12-31,7509.571,966.19,5366.118
2018-12-31,7848.372,1004.117,5754.731
2019-12-31,8229.42,1044.415,6131.039
